coin_name,middle_link
Bitcoin,https://www.allcryptowhitepapers.com/Bitcoin-Whitepaper
Ethereum,https://www.allcryptowhitepapers.com/Ethereum-Whitepaper
Ripple - XRP,https://www.allcryptowhitepapers.com/Ripple-Whitepaper
Bitcoin Cash,https://www.allcryptowhitepapers.com/BitcoinCash-Whitepaper
Litecoin,https://www.allcryptowhitepapers.com/Litecoin-Whitepaper
Tether,https://www.allcryptowhitepapers.com/Tether-Whitepaper
EOS,https://www.allcryptowhitepapers.com/EOS-Whitepaper
Binance Coin,https://www.allcryptowhitepapers.com/BinanceCoin-Whitepaper
Bitcoin Cash SV,https://www.allcryptowhitepapers.com/Bitcoin-Cash-SV-whitepaper/
Monero,https://www.allcryptowhitepapers.com/Monero-Whitepaper
Cardano,https://www.allcryptowhitepapers.com/Cardano-Whitepaper
Stellar,https://www.allcryptowhitepapers.com/Stellar-Whitepaper
Unus Sed Leo,https://www.allcryptowhitepapers.com/unus-sed-leo-whitepaper/
Huobi Token,https://www.allcryptowhitepapers.com/HuobiToken-Whitepaper
TRON,https://www.allcryptowhitepapers.com/TRON-Whitepaper
Dash,https://www.allcryptowhitepapers.com/Dash-Whitepaper
Ethereum Classic,https://www.allcryptowhitepapers.com/EthereumClassic-Whitepaper
Tezos,https://www.allcryptowhitepapers.com/Tezos-Whitepaper
IOTA,https://www.allcryptowhitepapers.com/IOTA-Whitepaper
ChainLink,https://www.allcryptowhitepapers.com/ChainLink-Whitepaper
NEO,https://www.allcryptowhitepapers.com/NEO-Whitepaper
Maker,https://www.allcryptowhitepapers.com/Maker-Whitepaper
Cosmos,https://www.allcryptowhitepapers.com/cosmos-whitepaper/
Ontology,https://www.allcryptowhitepapers.com/Ontology-Whitepaper
0chain,https://www.allcryptowhitepapers.com/0chain-Whitepaper/
0x,https://www.allcryptowhitepapers.com/0x-Whitepaper
0xBitcoin,https://www.allcryptowhitepapers.com/0xBitcoin-Whitepaper/
0xcert,https://www.allcryptowhitepapers.com/0xcert-Whitepaper/
12Ships,https://www.allcryptowhitepapers.com/12ships-whitepaper/
1irstcoin,https://www.allcryptowhitepapers.com/1irstcoin-whitepaper/
1SG,https://www.allcryptowhitepapers.com/1sg-whitepaper/
1World,https://www.allcryptowhitepapers.com/1World-Whitepaper
